,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
240,429617,Spider-Man: Far From Home,2019-06-28,"['Action', 'Adventure', 'Science Fiction']",English,7.5,14101,122.625,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",160000000,"['Marvel Studios', 'Pascal Pictures']",1131927996,129,It’s time to step up.
241,1026563,13 Exorcisms,2022-11-04,"['Drama', 'Horror']",Spanish,5.7,77,122.51,"After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.",0,"['Mr. Fields and Friends', 'Atresmedia', 'Bambú Producciones', 'Movistar+']",1891519,104,
242,230622,Rain Town,2011-03-02,"['Animation', 'Drama']",Japanese,6.7,27,122.169,"In this town, since who knows when, rain has never stopped. Residents moved out to suburbs and high ground around. People’s memories are now deeply submerged. But into this forgotten rainy town sometimes, someone wanders.",0,['Independent'],0,10,
243,760204,The Lair,2022-10-28,"['Horror', 'Action']",English,5.7,112,122.165,"Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.",0,"['Highland Film Group', 'Rather Good Films', 'Ingenious Media', 'Scarlet Productions', 'Ashland Hill Media Finance']",0,93,Unlocked. Unleashed.
244,12444,Harry Potter and the Deathly Hallows: Part 1,2010-10-06,"['Adventure', 'Fantasy']",English,7.8,17430,121.174,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",250000000,"['Warner Bros. Pictures', 'Heyday Films']",954305868,146,One Way… One Fate… One Hero.
245,774752,The Guardians of the Galaxy Holiday Special,2022-11-25,"['Comedy', 'Science Fiction', 'Adventure']",English,7.2,1449,121.153,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",0,"['Marvel Studios', 'Kevin Feige Productions', 'Troll Court Entertainment']",0,45,The perfect present is a galaxy away.
246,338953,Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,"['Fantasy', 'Adventure', 'Family']",English,6.7,3594,120.718,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",200000000,"['Warner Bros. Pictures', 'Heyday Films', 'Brazil Production Services']",406950844,142,Return to the magic.
247,937278,A Man Called Otto,2022-12-28,"['Comedy', 'Drama']",English,7.9,1315,120.262,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",50000000,"['Playtone', 'SF Studios', '2DUX²', 'Artistic Films', 'Columbia Pictures']",108961677,126,Fall in love with the grumpiest man in America.
248,338958,Disenchanted,2022-11-18,"['Comedy', 'Family', 'Fantasy']",English,6.9,847,120.063,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.",0,"['Walt Disney Pictures', 'Josephson Entertainment', 'Right Coast']",0,120,Happily never after.
249,717728,Jeepers Creepers: Reborn,2022-09-15,"['Horror', 'Thriller', 'Mystery']",English,5.7,795,119.867,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",5000000,"['Orwo Studios (US)', 'Screen Media Films', 'Black Hangar Studios']",5954938,88,Evil's Back. For More.
250,744275,After We Fell,2021-09-01,"['Romance', 'Drama']",English,7.1,2192,119.864,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",14000000,"['Voltage Pictures', 'Wattpad', 'Vertical Entertainment', 'Ethea Entertainment', 'CalMaple Films']",21500000,99,
251,599019,Big Trip 2: Special Delivery,2022-10-07,"['Animation', 'Family', 'Adventure', 'Comedy']",Russian,6.5,72,119.391,"It has been a year since Mic Mic and Oscar returned from their incredible adventure. And now, after a diabolical plan by Vulture to sabotage the delivery of the Grizzly cub to his opponent in the American presidential elections, Mic Mic, Oscar, Panda teenager and Stork set off on another great adventure as they ride a zeppelin to return little Grizzly to its rightful parents and save the American elections and the whole continent from an erupting volcano.",0,"['Licensing Brands', 'Luminescence']",0,90,"A bear, a baby, a blimp - another another big trip!"
